Center,Phone number,Days,Hours,Full Address,Latitude,Longitude
Solid Rock Baptist Church,(718) 384-8764,"Mon, Thu",9 AM - 12 PM,"120 Tompkins Ave, Brooklyn, NY 11206",40.69515,-73.946407
St. Stephen Outreach Community Development Corporation,(718) 938-4532,"Wed, Fri",9 AM - 10:30 AM,"874 Myrtle Ave, Brooklyn, NY 11206",40.695509,-73.947117
Trinity Human Service Corporation,(718) 388-3176,Tue-Fri,9AM-12PM&1-4PM,"153 Johnson Ave, Brooklyn, NY 11206",40.706605,-73.944126
City Harvest - Bed-Stuy Mobile Market,(646) 412-0740,"Wed, Sat",9:30 AM - 11:30 AM,"736 Park Ave, Brooklyn, NY 11206",40.697754,-73.946093
St. Stephen Outreach Community Development Corporation,(718) 938-4532,Wed-Fri,11 AM - 1 PM,"874 Myrtle Ave, Brooklyn, NY 11206",40.695509,-73.947117
Bethlem Nation'S Food Pantry,(718) 257-8300,Sat,10 AM - 12 PM,"1962 Linden Blvd, Brooklyn, NY 11207",40.658848,-73.88933
Ccns-St. Michael/ St. Malachy,(347) 957-2450,Fri,9:30 AM - 11:30 AM,"286 Warwick St, Brooklyn, NY 11207",40.67649,-73.886844
Christian Cultural Center,(718) 306-1021,"Wed, Thus",9:30 AM - 12 PM,"12020 Flatlands Ave, Brooklyn, NY 11207",40.651153,-73.888607
Church Of God Prophecy,(718) 649-5533,Tue,3:30 PM - 6 PM,"71 Malta St, Brooklyn, NY 11207",40.659009,-73.895095
Cornerstone Seventh Day Adventist Church,(917) 915-6769,Thu,10 AM - 12 PM,"138 Pennsylvania Ave, Brooklyn, NY 11207",40.674529,-73.896743
East New York Wesleyan Church/New Hope Family Worship Cent,(718) 342-1305,Sat,11 AM - 1 PM,"817 Livonia Ave, Brooklyn, NY 11207",40.665996,-73.886518
Family Service Network Of N.Y. Inc,(718) 455-6010,"Mon, Wed",9 AM - 1 PM,"1420 Bushwick Ave, Brooklyn, NY 11207",40.68413,-73.909223
Hope Empowerment And Development Zone Food Pantry,(718) 568-7072,Sat,12 PM - 4 PM,"369 New Lots Ave, Brooklyn, NY 11207",40.661754,-73.893593
House Of David Worship Center,(718) 649-5982,Wed,10:30 AM - 12:30 PM,"747 Hendrix St, Brooklyn, NY 11207",40.663154,-73.886325
Icl And Chn Food Pantry,(718) 495-6700,Wed,1 PM - 4 PM,"2581 Atlantic Ave, Brooklyn, NY 11207",40.676162,-73.899043
Mt. Hebron Church Of Christ,(347) 454-4915,Thu,11:30 AM - 1 PM,"905 Sutter Ave, Brooklyn, NY 11207",40.671011,-73.884983
Mylah'S Organization Inc,NONE PROVIDED,"Tue, Thu",10:30 AM - 1 PM,"447 New Lots Ave, Brooklyn, NY 11207",40.66281,-73.891193
Muna Social Service An-Namirah,(212) 920-6202,Mon,2 PM - 3 PM,"2135 Pitkin Ave, Brooklyn, NY 11207",40.672361,-73.893611
Church Of God Prophecy,(718) 649-5533,Tue,3:30 PM - 6 PM,"71 Malta St, Brooklyn, NY 11207",40.659009,-73.895095
Cornerstone Seventh Day Adventist Church,(917) 915-6769,Sun,11:30 AM - 1 PM,"138 Pennsylvania Ave, Brooklyn, NY 11207",40.674529,-73.896743
Blessed Sacrament Church (Bklyn),(718) 827-1200,Wed,9:30 AM - 11:30 AM,"198 Euclid Ave, Brooklyn, NY 11208",40.683681,-73.874456
City Of Refuge Fp,(929) 289-2267,Wed,9:30 AM - 12 PM,"1115 Blake Ave, Brooklyn, NY 11208",40.670631,-73.876699
East New York Seventh Day Adventist Church,(718) 557-9802,Thu,11 AM - 2 PM,"511 Elton St, Brooklyn, NY 11208",40.670395,-73.882428
Isaiah'S Temple Of Mt. Hope,(718) 277-4038,Thu,2 PM - 4 PM,"862 Glenmore Ave, Brooklyn, NY 11208",40.675714,-73.878186
Las Maravillas Del Exodo,(347) 691-8340,Wed,9 AM - 11 AM,"302 Elton St, Brooklyn, NY 11208",40.675856,-73.884052
Open Door To Heaven Outreach Ministry Inc,(347) 822-0714,Sat,1 PM - 2 PM,"474 Shepherd Ave, Brooklyn, NY 11208",40.672655,-73.88057
Presbyterian Church Of The Crossroads,(718) 657-8404,Wed,10 AM - 12 PM,"133 Elton St, Brooklyn, NY 11208",40.68054,-73.884693
"Second St. Paul Church Of Christ, Disciple Of Christ, Inc",(718) 235-8922,Sat,8 AM - 10 AM,"1048 Sutter Ave, Brooklyn, NY 11208",40.671518,-73.880002
Ymca Community Market-North Brooklyn Ymca,(212) 912-2230,Tue,12 PM - 5 PM,"570 Jamaica Ave, Brooklyn, NY 11208",40.684994,-73.882741
Muna Social Service Inc,(212) 920-6202,Wed,3 PM - 5 PM,"1033 Glenmore Ave, Brooklyn, NY 11208",40.676866,-73.871826
Isaiah'S Temple Of Mt. Hope,(718) 277-4038,"Tue, Thu",2 PM - 4 PM,"862 Glenmore Ave, Brooklyn, NY 11208",40.675714,-73.878186
Brcdc Food Program,(347) 560-6700,Sat,11 AM - 2 PM,"9818 Ft Hamilton Pkwy, Brooklyn, NY 11209",40.61284,-74.031331
Our Lady Of Angels Human Services,(718) 726-9790,Wed,9:30AM-12PM&1:30-3PM,"336 73rd St, Brooklyn, NY 11209",40.632452,-74.026148
Admirable Church Inc,(347) 779-7192,Sat,10 AM - 12 PM,"1910 Flatbush Ave, Brooklyn, NY 11210",40.623151,-73.937678
Community Care Food Pantry,(917) 304-3406,Sat,11 AM - 2:30 PM,"1387 E 37th St, Brooklyn, NY 11210",40.622198,-73.939098
Lifebridge Ny,(718) 233-5004,Wed,5 PM - 7 PM,"1895 Flatbush Ave, Brooklyn, NY 11210",40.623501,-73.937545
Our Lady Of Refuge R.C. Church,(718) 434-2090,Wed,10 AM - 1 PM,"2020 Foster Ave, Brooklyn, NY 11210",40.636501,-73.957711
Treasures In Earthen Jars Food Pantry,(718) 308-9147,Sat,1 PM - 3 PM,"4124 Ave H, Brooklyn, NY 11210",40.63224,-73.936284
Evangelical Crusade Food Pantry,(718) 734-7250,Wed,2 PM - 4 PM,"557 E 31st St, Brooklyn, NY 11210",40.637302,-73.947014
Flatbush Community Fund,(718) 850-3545,"Tue, Wed",12 PM - 3 PM,"1860 Flatbush Ave, Brooklyn, NY 11210",40.624301,-73.938892
"Southside United H.D.F.C., Inc - Los Sures",(718) 599-1940,Tue,9 AM - 12 PM,"145 S 3rd St, Brooklyn, NY 11211",40.712455,-73.96154
Transfiguration Church,(718) 782-8181,"Tue, Wed",9 AM - 12 PM,", Marcy, NY 13403",43.172019,-75.27371
Bethany Gospel Chapel Inc,(718) 929-1234,Sat,6:30 AM - 7:30 AM,"521 Thomas S Boyland St, Brooklyn, NY 11212",40.668106,-73.913053
Brownsville Temple Seventh Day Adventist Church,(929) 944-2520,Sun,11 AM - 1 PM,"1089 Clarkson Ave, Brooklyn, NY 11212",40.659961,-73.922167
Church Of God Inc.,(718) 493-3031,Sat,12 PM - 1 PM,"1011 Winthrop St, Brooklyn, NY 11212",40.660232,-73.926076
Ebenezer Seventh Day Adventist Church,(718) 879-0542,Wed,10:30 AM - 12 PM,"1234 E New York Ave, Brooklyn, NY 11212",40.667489,-73.921239
Hope Center Development Corporation,(718) 385-1043,Sat,11 AM - 1:30 PM,"414 E 95th St, Brooklyn, NY 11212",40.657045,-73.918623
Little Jerusalem House Of Prayer,(718) 922-7446,Sat,1 PM - 2 PM,"447 Herzl St, Brooklyn, NY 11212",40.658942,-73.912706
New Life Seventh Day Adventist Church,(718) 385-0463,Mon/Tue/Sun,5-7PM/6-8PM/8-10AM,"88 Thomas St, New York, NY 10013",40.717395,-74.008705
Peoples Baptist Church,(718) 676-0318,Sat,12 PM - 2 PM,"105 Riverdale Ave, Brooklyn, NY 11212",40.660521,-73.912857
Urban Strategies Inc,(718) 346-2539,Tue,8 AM - 10 AM,"61 Riverdale Ave, Brooklyn, NY 11212",40.660263,-73.914421
World For Christ Food Services,(347) 249-8928,Sat,10 AM - 12 PM,"874 Clarkson Ave, Brooklyn, NY 11203",40.656628,-73.929184
Hope Center Development Corporation,(718) 385-1043,Sat,11 AM - 1:30 PM,"409 E 95th St, Brooklyn, NY 11212",40.657194,-73.918447
Better Community Food Pantry,(347) 240-9352,Sat,9 AM - 1 PM,"218 Buffalo Ave, Brooklyn, NY 11213",40.671669,-73.925426
Louisea Maze Emile Community Service,(347) 639-3165,Fri,10 AM - 12 PM,"1757 President St, Brooklyn, NY 11213",40.667042,-73.928775
The Church Of St. Mark,(718) 756-6607,Fri,11:30 AM - 1:30 PM,"1417 Union St, Brooklyn, NY 11213",40.668744,-73.944656
Crown Heights Jewish Community Council,(718) 771-9000,Wed,1:30 PM - 3 PM,"899 Montgomery St, Brooklyn, NY 11213",40.664641,-73.934788
Nat'L Comm. For Futh. Of Jewish Ed.(Uc),(718) 735-0200,Fri,12 PM - 1 PM,"824 Eastern Pkwy, Brooklyn, NY 11213",40.668965,-73.941025
Bethany United Methodist Church,(718) 774-5689,Tue/ Thu,12:30-2:30PM/5-7PM,"1208 St Johns Pl, Brooklyn, NY 11213",40.670745,-73.938264
Health Essential Association Cpmm,(646) 515-6898,Thu,10 AM - 12 PM,"2336 86th St, Brooklyn, NY 11214",40.599879,-73.990744
We Create Community Food Pantry,(347) 409-5414,Thu,10:30 AM - 11:30 AM,"8501 New Utrecht Ave, Brooklyn, NY 11214",40.607236,-74.001487
Bensonhurst Council Of Jewish Organizations,(718) 333-1834,Tue,10 AM - 4 PM,"8635 21st Ave, Brooklyn, NY 11214",40.602604,-73.996505
Al-Madinah School Inc,(718) 222-4986,Fri,12:30 PM - 2:30 PM,"383 3rd Ave, Brooklyn, NY 11215",40.674228,-73.988547
Camp Friendship Food Pantry In Park Slope,(718) 965-3695,Sat,9 AM - 12 PM,"339 8th St, Brooklyn, NY 11215",40.66898,-73.983852
Bedford Central Presbyterian Church,(718) 467-0740,Thu,10:30 AM - 2:30 PM,"1200 Dean St, Brooklyn, NY 11216",40.676729,-73.949584
Beulah Church Of God In Christ Jesus,(718) 636-8500,"Tue, Thu",10:30 AM - 1 PM,"956 Marcy Ave, Brooklyn, NY 11216",40.680626,-73.946439
Family Life Development Center,(718) 636-4938,Mon,4 PM - 6 PM,"1476 Bedford Ave, Brooklyn, NY 11216",40.672925,-73.954427
Hebron Seventh Day Adventist Church,(718) 778-6454,Wed,10 AM - 1 PM,"1256 Dean St, Brooklyn, NY 11216",40.676647,-73.947688
Newman Memorial United Methodist Church Community Developm,(718) 622-7955,Sat,10 AM - 2 PM,"257 Macon St, Brooklyn, NY 11216",40.682197,-73.941018
Siloam Presbyterian Church Food Pantry,(718) 789-7050,Wed,10 AM - 12 PM,"260 Jefferson Ave, Brooklyn, NY 11216",40.683479,-73.947306
St. George'S Episcopal Church Food Pantry,(718) 789-6036,Fri,10 AM - 2 PM,"800 Marcy Ave, Brooklyn, NY 11216",40.68634,-73.947586
The Salvation Army Bedford Temple Corps,(718) 622-0614,Wed,10 AM - 12 PM,"601 Lafayette Ave, Brooklyn, NY 11216",40.690102,-73.950437
The Temple Of Restoration Ttor Food Pantry,(646) 863-4239,"Thu, Thu/Sat",10AM-4PM/10AM-1PM,"18 Herkimer Pl, Brooklyn, NY 11216",40.678995,-73.951582
Muna Social Service Downtown Brooklyn,(212) 920-6202,Mon,4 PM - 5 PM,"50 New York Ave, Brooklyn, NY 11216",40.678597,-73.94706
Hebron Seventh Day Adventist Church,(718) 778-6454,Sun,12:30 PM - 2 PM,"1256 Dean St, Brooklyn, NY 11216",40.676647,-73.947688
Newman Memorial United Church Community Development Corp.,(718) 622-7955,Sat,10 AM - 2 PM,"257 Macon St, Brooklyn, NY 11216",40.682197,-73.941018
St. George'S Episcopal Church,(718) 789-6036,Tue-Thu,12:30 PM - 2 PM,"800 Marcy Ave, Brooklyn, NY 11216",40.68634,-73.947586
Community Help In Park Slope,(718) 237-2962,"Thu, Sat",11:30 AM - 1 PM,"200 4th Ave, Brooklyn, NY 11217",40.678294,-73.982715
Hanson Place Seventh Day Adventist Church,(718) 230-0229,Thu,1:30 PM - 5 PM,"88 Hanson Pl, Brooklyn, NY 11217",40.685433,-73.974032
Immanuel First Spanish United Methodist Church,(718) 624-3300,Tue,1 PM - 2:45 PM,"424 Dean St, Brooklyn, NY 11217",40.682224,-73.977172
Next Step Community Church,(718) 875-1858,Sat,9 AM - 10:30 AM,"360 Schermerhorn St, Brooklyn, NY 11217",40.686641,-73.980235
South Bklyn Seventh Day Adventist Church Community Service P,(718) 783-1662,Sun,11 AM - 2 PM,"42 Prospect Pl, Brooklyn, NY 11217",40.679697,-73.976556
Community Help In Park Slope Inc,(718) 237-2962,Mon-Sat,9-10:30AM&11:30AM-1PM,"200 4th Ave, Brooklyn, NY 11217",40.678294,-73.982715
Next Step Community Church,(718) 875-1858,"M, Tue, Wed",9 AM - 10 AM,"360 Schermerhorn St, Brooklyn, NY 11217",40.686641,-73.980235
Christ Apostolic Church Goke Food Pantry,(347) 337-4167,Tue/Sat,2-4PM/9AM-1PM,"622 Cortelyou Rd, Brooklyn, NY 11218",40.638495,-73.972157
"Paswo (Pakistani American Skilled Women Organization, Inc)",(929) 527-6842,Wed,1 PM - 2 PM,"930 Ditmas Ave, Brooklyn, NY 11218",40.636494,-73.968351
Muna Social Service Brooklyn Islamic Center,(212) 920-6202,Mon,3 PM - 4 PM,"722 Church Ave, Brooklyn, NY 11218",40.645547,-73.972472
Met Council Brooklyn Hub,NONE PROVIDED,"Wed, Thu",12:30 - 4:30,"1271 60th St, Brooklyn, NY 11219",40.629318,-73.998923
Tomche Shabbos Of Boro Park,(718) 259-5576,Wed,3 PM - 5 PM,"6225 New Utrecht Ave, Brooklyn, NY 11219",40.62537,-73.997
Zichron Acheinu Levy-Menachem Tzion,(347) 742-0552,Wed,10 PM - 12 PM,"4518 11th Ave, Brooklyn, NY 11219",40.639623,-73.994726
Academy Of Medical & Public Health Services (Amphs),(212) 256-9036,Sat,2 PM - 4 PM,"5306 3rd Ave, Brooklyn, NY 11220",40.645975,-74.016798
The Salvation Army Sunset Park Corps,(718) 438-1771,"Tue, Wed, Thu",10 AM - 12 PM,"520 50th St, Brooklyn, NY 11220",40.644694,-74.009826
The Table At The Family Support Center At Nyu Langone,(718) 630-7171,Fri,9 AM - 12 PM,"550 59th St, Brooklyn, NY 11220",40.639194,-74.014493
The Salvation Army Sunset Park Corps,(718) 438-1771,Tue-Thu,12:30 PM - 1:30 PM,"520 50th St, Brooklyn, NY 11220",40.644694,-74.009826
Abundant Life Christian Church Fp,(718) 778-5833,Sun,1:30 PM - 2:30 PM,"579 Gates Ave, Brooklyn, NY 11221",40.687142,-73.943621
Bethany House (Sco Family Of Services),(718) 312-6281,Thu,11 AM - 1 PM,"164 Suydam St, Brooklyn, NY 11221",40.699286,-73.926304
Collective Focus Food Justice Pantry Program,NONE PROVIDED,Tue,1 PM - 3 PM,"1046 Broadway, Brooklyn, NY 11221",40.695197,-73.932347
"Faith Center For Human Services, Inc",(646) 431-9729,Sat,9:30 AM - 12 PM,"1014 Gates Ave, Brooklyn, NY 11221",40.689302,-73.922834
Northeast Brooklyn Housing Development Corporation,(718) 453-9490,"Tue, Thu/Sat",9AM-12PM/10AM-12PM,"376 Throop Ave, Brooklyn, NY 11221",40.691357,-73.942751
Open Door Family Life Center Inc,(718) 455-3545,Sat,8:30 AM - 10:30 AM,"999 Greene Ave, Brooklyn, NY 11221",40.691297,-73.927009
St. John'S Bread & Life Food Pantry,(718) 574-0058,Mon-Thu,8 AM - 1 PM,"795 Lexington Ave, Brooklyn, NY 11221",40.690327,-73.928921
The Salvation Army Bushwick Corps,(718) 455-4102,"Mon, Tue, Thu",10 AM - 12:30 PM,"1151 Bushwick Ave, Brooklyn, NY 11221",40.689263,-73.917315
Thurston Memorial Outreach Ministries,(718) 452-3646,Fri,2 PM - 4:30 PM,"1243 Bushwick Ave, Brooklyn, NY 11221",40.687757,-73.914691
Metro Ministries International,(718) 453-3352,Sat,10:30 AM - 12 PM,"11 Harman St, Brooklyn, NY 11221",40.69394,-73.924893
"Faith Center For Human Services, Inc",(646) 431-9729,Sat,9:30 AM - 12 PM,"1014 Gates Ave, Brooklyn, NY 11221",40.689302,-73.922834
St. John'S Bread & Life Program,(718) 574-0058,Mon-Thu,9 AM - 12:30 PM,"795 Lexington Ave, Brooklyn, NY 11221",40.690327,-73.928921
The Salvation Army Bushwick Corps,(718) 455-4102,"M, Tu, Th, Fri",12:30 PM - 2 PM,"1151 Bushwick Ave, Brooklyn, NY 11221",40.689263,-73.917315
Greenpoint Reformed Church Food Pantry,(718) 383-5941,Thu,4 PM - 7 PM,"136 Milton St, Brooklyn, NY 11222",40.729275,-73.954981
Our Lady Of Grace Parish Ministry,(718) 645-2120,"Mon, Wed",9 PM - 1 PM,"2322 E 4th St, Brooklyn, NY 11223",40.593435,-73.967199
Salt & Sea Mission Church Inc.,(917) 873-9261,"Tue, Thu, Sun",10:30 AM - 12:45 PM,"2417 Stillwell Ave, Brooklyn, NY 11223",40.588551,-73.98351
Sephardic Bikur Holim Food Pantry,(718) 787-1100,M-Thu/Fri,9A-12:30P&1-4:3P/9A-1P,"425 Kings Hwy, Brooklyn, NY 11223",40.604624,-73.974871
Our Lady Of Grace Parish Ministry,(718) 645-2120,Wed,12 PM - 12:30 PM,"3162 Brighton 4th St, Brooklyn, NY 11235",40.576144,-73.963284
Acts Community Development Corporation,(718) 415-1170,Tue/Thu,6-7:15M/11AM-2:15PM,"2114 Mermaid Ave, Brooklyn, NY 11224",40.576109,-73.98843
Catholic Charities,(718) 722-6001,Mon,9:30 AM - 1:30 PM,"2866 W 17th St, Brooklyn, NY 11224",40.577277,-73.985047
Kingdom Global Missions,NONE PROVIDED,Sat,12 PM - 3 PM,"2315 Surf Ave, Brooklyn, NY 11224",40.574,-73.990491
Chance For Children,(347) 616-3228,Fri,10 AM - 12:30 PM,", McKeever, NY 13338",43.612013,-75.098781
"Elite Learners, Inc",(347) 221-0188,Thu,10 AM - 12 PM,"581 Rogers Ave, Brooklyn, NY 11225",40.657531,-73.953042
Gethsemane Seventh Day Adventist Church,(718) 467-4181,Sun/Wed,12-1PM/5-6PM,"357 Empire Blvd, Brooklyn, NY 11225",40.66411,-73.950237
Horeb Seventh Day Adventist Community Services,(718) 778-7373,Tue,10 AM - 11 AM,"520 Kingston Ave, Brooklyn, NY 11225",40.661057,-73.942828
Ladies In Waiting,(718) 469-8816,Tue,10 AM - 1 PM,"276 Fenimore St, Brooklyn, NY 11225",40.658375,-73.953624
Love Wins Food Pantry @ Bcpc,(347) 889-7719,Thu,1:30 PM - 2:30 PM,"1561 Bedford Ave, Brooklyn, NY 11225",40.66872,-73.9556
"Sanctified Church Of God, Inc/Community Feeding Program",(718) 493-2385,Sat,12 PM - 1 PM,"404 Lefferts Ave, Brooklyn, NY 11225",40.662356,-73.948095
Angels Through Christ,(516) 807-2978,Sat,1 PM - 3 PM,"2311 Snyder Ave, Brooklyn, NY 11226",40.648797,-73.955698
Bethanie French Seventh Day Adventist Church,(929) 340-4778,Thu,10 AM - 12 PM,"2059 Bedford Ave, Brooklyn, NY 11226",40.654484,-73.956077
Calvary Pentecostal Church,(718) 469-8252,Thu,10 AM - 12 PM,"151 Woodruff Ave, Brooklyn, NY 11226",40.654464,-73.961081
"Church Avenue Merchants Block Assoc., Inc/Camba Food Pantry",(718) 282-3082,"Tue, Thu",10 AM - 1 PM,"21 Snyder Ave, Brooklyn, NY 11226",40.648683,-73.957287
Church Of God Of Salvation,(718) 693-6486,Wed/Thu,2-4PM/10AM-4PM,"1615 Nostrand Ave, Brooklyn, NY 11226",40.646673,-73.948962
Emmaus Seventh Day Adventist Church,(704) 502-1450,Tue,12:30 PM - 2 PM,"1144 Flatbush Ave, Brooklyn, NY 11226",40.642465,-73.957698
Fernande Valme' Ministries Inc,(718) 284-1809,Thu,10 AM - 11 AM,"1120 Flatbush Ave, Brooklyn, NY 11226",40.643159,-73.957901
Flatbush Seventh Day Adventist Church,(718) 693-9180,Mon,11 AM - 1 PM,"261 E 21st St, Brooklyn, NY 11226",40.648057,-73.959355
Goshen Temple Of Seventh Day Adventist Church,(917) 847-5528,Wed,1 PM - 3 PM,"2414 Church Ave, Brooklyn, NY 11226",40.65044,-73.955157
Holy Cross Food Pantry - Brooklyn,(718) 469-5900,"Tue, Thu",2 PM - 3:30 PM,"2530 Church Ave, Brooklyn, NY 11226",40.650443,-73.953526
Peniel Haitian Church Of C And Ma,(718) 469-3685,Sat/Sat,10AM-12PM/1-3PM,"2741 Albemarle Rd, Brooklyn, NY 11226",40.648195,-73.950651
St. Mark'S United Methodist Church,(718) 282-6304,Thu,12 PM - 3 PM,"2017 Beverley Rd, Brooklyn, NY 11226",40.645084,-73.959486
Health Essential Association Inc,(646) 515-6898,Fri,10 AM - 12 PM,"2101 E 16th St, Brooklyn, NY 11229",40.598607,-73.955282
Kings Bay Y Food Pantry,(718) 648-7703,Fri,9:30 AM - 11 AM,"3495 Nostrand Ave, Brooklyn, NY 11229",40.598731,-73.941331
Brooklyn Meal Share,NONE PROVIDED,Sat,5 PM - 7 PM,"1323 Foster Ave, Brooklyn, NY 11230",40.633709,-73.964179
Payo Food Pantry,(718) 713-2000,Thu,3 PM - 5 PM,"1045 Coney Island Ave, Brooklyn, NY 11230",40.632195,-73.966535
Copo Food Pantry,(718) 434-3266,Fri,10:30 AM - 4:30 PM,"1077 Coney Island Ave, Brooklyn, NY 11230",40.631335,-73.966304
Icna Relief Quba Pantry,(214) 463-3227,Tue,1 PM - 3 PM,"634 Rugby Rd, Brooklyn, NY 11230",40.633607,-73.964089
Masbia Of Flatbush,(718) 972-4446,Mon-Thu,12 PM - 8 PM,"1372 Coney Island Ave, Brooklyn, NY 11230",40.624072,-73.965243
Masbia Of Flatbush,(718) 972-4446,Mon-Thu,6 PM - 8 PM,"1372 Coney Island Ave, Brooklyn, NY 11230",40.624072,-73.965243
"Food First, Inc",(718) 399-7395,"Wed, Fri",10 AM - 12 PM,"165 Conover St, Brooklyn, NY 11231",40.678224,-74.013866
Movement Of Pentecostal Christian Church,(347) 219-0947,Sun,12:30 PM - 2 PM,"90 Summit St, Brooklyn, NY 11231",40.682134,-74.003543
Red Hook Community - Redemption Church,(347) 526-2728,Thu,10 AM - 12 PM,"27 Huntington St, Brooklyn, NY 11231",40.677652,-74.005115
Center For Family Life,(929) 480-7175,"Tue, W, Thu",1 PM - 4 PM,"443 39th St, Brooklyn, NY 11232",40.651994,-74.004866
Blessed Assurance Church Of God Blessed Assurance Charity I,(917) 889-4654,Sat,9 AM - 11 AM,"2093 Fulton St, Brooklyn, NY 11233",40.678343,-73.909299
Brooklyn Rescue Mission Urban Harvest Center Inc,(917) 426-3001,"Tue, Wed",10 AM - 11:30 AM,"426 Decatur St, Brooklyn, NY 11233",40.682229,-73.925767
Church Of Praise And Worship God In Christ,(347) 462-5679,Sat,10 AM - 1 PM,"526 Ralph Ave, Brooklyn, NY 11233",40.671423,-73.922488
Community Services Housing Development Corp.,(646) 794-5961,Thu,10 AM - 12 PM,"547 Howard Ave, Brooklyn, NY 11233",40.669018,-73.919822
Glover Memorial Bread Of Life Food Pantry,(929) 453-9611,Thu,9 AM - 11:30 AM,"2134 Dean St, Brooklyn, NY 11233",40.674986,-73.917018
"God'S Deliverance Temple, Inc",(347) 234-3828,Tue,11 AM - 12 PM,"438 Ralph Ave, Brooklyn, NY 11233",40.674183,-73.922234
New Hope Pentecostal Church Of Jesus Christ Inc,NONE PROVIDED,Sat,12 PM - 2 PM,"1838 Park Pl, Brooklyn, NY 11233",40.671484,-73.916427
Rewrite Corporation,NONE PROVIDED,Sat,11 AM - 2 PM,"425 Howard Ave, Brooklyn, NY 11233",40.673162,-73.919432
St. Paul Pentecostal Church,(917) 604-9644,Sat,11 AM - 1 PM,"133 Thomas S Boyland St, Brooklyn, NY 11233",40.680368,-73.913825
St. Philip'S Episcopal/St. Benedict'S Pantry,(718) 778-8700,Wed,9 AM - 1 PM,"265 Decatur St, Brooklyn, NY 11233",40.68161,-73.933229
True Holy Church Of God In Christ Jesus,(718) 385-0248,Sat,10 AM - 12 PM,"2364 Atlantic Ave, Brooklyn, NY 11233",40.675946,-73.906749
Neighbors Together,(718) 498-7256,M-F/M-Thu,12-2PM/4-6PM,"2094 Fulton St, Brooklyn, NY 11233",40.678329,-73.913937
Opin (Other People In Need),(718) 421-0148,Fri,2 PM - 4 PM,"1768 St Johns Pl, Brooklyn, NY 11233",40.66976,-73.918483
Grant House Unity Corporation,(631) 652-3700,"W, Thu",11 AM - 4 PM,"2046 Flatbush Ave, Brooklyn, NY 11234",40.619895,-73.934165
